customer_id,company_name,industry,company_size,city,state,region,signup_date,acquisition_channel
C0001,Iron Cloud,Education,201-500,New York,NY,East,2026-03-20,LinkedIn
C0002,Core Finance,Marketing & Media,1-10,Portland,OR,West,2025-10-26,Referral
C0003,Flint Marketing,Healthcare,1-10,Phoenix,AZ,West,2026-04-20,Google Ads
C0004,Apex Consulting,Marketing & Media,51-200,Austin,TX,South,2026-02-17,Organic Search
C0005,Flint Commerce,Technology,11-50,Austin,TX,South,2025-03-15,LinkedIn
C0006,Stellar Wellness,E-commerce & Retail,201-500,Houston,TX,South,2026-06-08,Referral
C0007,Quantum Commerce,Technology,11-50,Philadelphia,PA,East,2026-03-09,Webinar
C0008,Coastal Systems,Education,1-10,Portland,OR,West,2026-03-24,Cold Outreach
C0009,United Biotech,Marketing & Media,51-200,Phoenix,AZ,West,2025-04-03,LinkedIn
C0010,Solar Labs,Education,1-10,Austin,TX,South,2025-10-03,LinkedIn
C0011,Lunar Energy,Marketing & Media,11-50,Baltimore,MD,East,2025-09-12,LinkedIn
C0012,Legacy Commerce,Marketing & Media,1-10,Austin,TX,South,2026-05-25,LinkedIn
C0013,Nimbus Data,E-commerce & Retail,11-50,Los Angeles,CA,West,2026-01-21,Google Ads
C0014,Ember Labs,Healthcare,51-200,Baltimore,MD,East,2026-04-18,Referral
C0015,Zen Analytics,Technology,1-10,Detroit,MI,Midwest,2025-10-17,Referral
C0016,Maple Supply,Professional Services,51-200,Seattle,WA,West,2025-06-04,LinkedIn
C0017,Solar Data,Marketing & Media,51-200,Portland,OR,West,2025-12-11,Cold Outreach
C0018,Crest Retail,Technology,51-200,Charlotte,NC,South,2025-02-03,Referral
C0019,North Foods,Finance,11-50,Boston,MA,East,2026-04-23,Organic Search
C0020,Stellar Insights,Healthcare,51-200,Kansas City,MO,Midwest,2026-01-24,Google Ads
C0021,Keystone Logistics,Healthcare,201-500,Detroit,MI,Midwest,2026-03-09,Google Ads
C0022,Bold Partners,Education,1-10,Austin,TX,South,2025-09-09,Organic Search
C0023,Rapid Tech,Healthcare,201-500,Denver,CO,West,2026-06-10,Organic Search
C0024,Silver Works,Marketing & Media,1-10,Baltimore,MD,East,2026-05-28,Google Ads
C0025,Indigo Ventures,Marketing & Media,11-50,Minneapolis,MN,Midwest,2026-03-16,Google Ads
C0026,Juniper Creative,Technology,11-50,Baltimore,MD,East,2025-05-24,Google Ads
C0027,Legacy Software,E-commerce & Retail,1-10,Columbus,OH,Midwest,2025-11-14,Cold Outreach
C0028,Juniper Talent,Technology,1-10,Atlanta,GA,South,2025-02-20,Referral
C0029,Harbor Sports,Healthcare,1-10,San Diego,CA,West,2025-04-16,Organic Search
C0030,Core Marketing,Healthcare,1-10,Washington,DC,East,2026-02-08,Google Ads
C0031,Central Travel,Education,51-200,Dallas,TX,South,2026-03-28,Google Ads
C0032,Keystone Networks,Technology,1-10,San Diego,CA,West,2026-06-22,Google Ads
C0033,Rapid Learning,Technology,201-500,Boston,MA,East,2025-08-24,Organic Search
C0034,Nimbus Sports,Professional Services,201-500,Charlotte,NC,South,2025-09-29,Google Ads
C0035,Atlas Insights,Healthcare,11-50,San Francisco,CA,West,2025-11-08,Organic Search
C0036,Crest Networks,Finance,1-10,Washington,DC,East,2025-05-03,Webinar
C0037,Bold Group,E-commerce & Retail,11-50,Dallas,TX,South,2025-04-18,LinkedIn
C0038,United Robotics,Professional Services,201-500,Houston,TX,South,2025-11-10,Cold Outreach
C0039,Grove Ventures,Marketing & Media,11-50,Baltimore,MD,East,2025-06-14,Google Ads
C0040,Lunar Capital,Professional Services,1-10,Detroit,MI,Midwest,2026-02-07,Google Ads
C0041,Haven Builders,Technology,500+,Columbus,OH,Midwest,2025-10-13,Webinar
C0042,Maple Energy,Manufacturing,11-50,Baltimore,MD,East,2026-04-12,Organic Search
C0043,Maple Learning,Technology,11-50,Seattle,WA,West,2026-02-10,Referral
C0044,Atlas Learning,Marketing & Media,201-500,Miami,FL,South,2025-08-24,Webinar
C0045,Clear Textiles,Technology,500+,Phoenix,AZ,West,2026-04-18,LinkedIn
C0046,Bright Ventures,Education,11-50,Atlanta,GA,South,2026-04-15,Organic Search
C0047,Stellar Ventures,Manufacturing,11-50,New York,NY,East,2025-09-04,LinkedIn
C0048,Quantum Legal,Marketing & Media,11-50,Philadelphia,PA,East,2025-07-18,Google Ads
C0049,Keystone Dynamics,Marketing & Media,1-10,Philadelphia,PA,East,2026-02-05,Google Ads
C0050,Nimbus Energy,Marketing & Media,11-50,Baltimore,MD,East,2025-04-10,Google Ads
C0051,Crest Print,Technology,11-50,Kansas City,MO,Midwest,2025-05-13,Cold Outreach
C0052,Haven Works,Education,51-200,Denver,CO,West,2025-01-05,Referral
C0053,Haven Labs,Technology,51-200,Detroit,MI,Midwest,2026-03-13,Organic Search
C0054,Pulse Gaming,Manufacturing,500+,Seattle,WA,West,2026-01-09,Google Ads
C0055,Crest Creative,Professional Services,201-500,Dallas,TX,South,2026-02-24,Referral
C0056,Crest Consulting,Technology,1-10,Detroit,MI,Midwest,2026-03-27,Webinar
C0057,Nova Forge,Healthcare,1-10,Washington,DC,East,2025-11-01,Organic Search
C0058,Maple Studios,Manufacturing,51-200,San Diego,CA,West,2026-01-19,Organic Search
C0059,Swift Group,Professional Services,11-50,Houston,TX,South,2025-04-20,Cold Outreach
C0060,Iron Capital,E-commerce & Retail,1-10,Austin,TX,South,2025-03-12,Cold Outreach
C0061,Canyon Design,Technology,51-200,Portland,OR,West,2026-02-14,Webinar
C0062,True Forge,Technology,11-50,Philadelphia,PA,East,2025-11-24,Organic Search
C0063,Indigo Stores,Education,1-10,Dallas,TX,South,2026-01-12,Google Ads
C0064,Solar Commerce,Finance,11-50,Denver,CO,West,2026-03-02,Organic Search
C0065,Nimbus Events,E-commerce & Retail,500+,Nashville,TN,South,2026-01-12,Organic Search
C0066,Onyx Creative,E-commerce & Retail,51-200,New York,NY,East,2025-12-08,Cold Outreach
C0067,Nimbus Dynamics,Finance,1-10,Los Angeles,CA,West,2025-12-12,Google Ads
C0068,Vertex Supply,Technology,11-50,Austin,TX,South,2025-08-08,LinkedIn
C0069,Alpine Supply,Finance,201-500,San Diego,CA,West,2025-01-05,Webinar
C0070,Onyx Wellness,Professional Services,1-10,Chicago,IL,Midwest,2025-10-31,Webinar
C0071,Haven Marketing,Marketing & Media,51-200,Baltimore,MD,East,2025-06-04,Referral
C0072,Beacon Cloud,Technology,51-200,Baltimore,MD,East,2025-10-22,Webinar
C0073,Onyx Analytics,Manufacturing,51-200,Baltimore,MD,East,2026-04-22,Google Ads
C0074,Lunar Legal,E-commerce & Retail,1-10,Boston,MA,East,2025-06-19,Organic Search
C0075,Juniper Works,Healthcare,201-500,Nashville,TN,South,2025-02-26,Google Ads
C0076,Drift Systems,Education,11-50,Austin,TX,South,2025-07-01,Webinar
C0077,Atlas Industries,Finance,1-10,Atlanta,GA,South,2025-07-10,Webinar
C0078,Juniper Insights,Manufacturing,1-10,New York,NY,East,2026-01-06,Google Ads
C0079,Golden Signals,Professional Services,11-50,San Francisco,CA,West,2025-12-18,Google Ads
C0080,Quantum Security,Marketing & Media,1-10,Denver,CO,West,2026-03-20,Organic Search
C0081,Anchor Health,Finance,51-200,Houston,TX,South,2026-01-28,Google Ads
C0082,Apex Group,Marketing & Media,201-500,Baltimore,MD,East,2025-10-12,Cold Outreach
C0083,Ember Textiles,E-commerce & Retail,1-10,New York,NY,East,2026-04-08,Google Ads
